"equation";"F";"df1";"df2";"p-value"
"w_despesahat1";4,89101097497498;2;527;0,00785840032748859
"w_despesahat2";1,194160437717;2;527;0,303776615028773
"w_despesahat3";9,03856602999764;2;527;0,000138173280595601
"w_despesahat4";12,7441012790262;2;527;3,93535829948214e-06
"w_despesahat5";0,496744477212941;2;527;0,608793080140227
"w_despesahat6";9,93912861820447;2;527;5,79307264254778e-05
