"eq";"idx";"resid"
"system";1;-0,0117055081567487
"system";2;-0,0383454820006699
"system";3;-0,0242517632155826
"system";4;-0,0352140803355208
"system";5;-0,0303970690747379
"system";6;-0,0390476310185985
"system";7;-0,0121150309608515
"system";8;-0,00878649863188288
"system";9;-0,0173606047720117
"system";10;-0,0417703394171381
"system";11;-0,058507601331984
"system";12;-0,0154370658916369
"system";13;0,0043122422956188
"system";14;0,0206850740189472
"system";15;-0,0692848192371821
"system";16;0,0244515581768711
"system";17;0,00747763822924397
"system";18;-0,0089497411538691
"system";19;-0,00514164949625162
"system";20;-0,0179925239222235
"system";21;0,00730137555476817
"system";22;0,0179117394068549
"system";23;-0,030917135631178
"system";24;-0,0167665722631338
"system";25;-0,0136964389270666
"system";26;-0,0260773159344447
"system";27;0,0036632793062483
"system";28;-0,0285261693005222
"system";29;-0,0139823791062568
"system";30;0,0188499289178968
"system";31;0,0219054390050174
"system";32;-0,00458821273859508
"system";33;0,000166103845392646
"system";34;0,0130192372606777
"system";35;0,0224836642353538
"system";36;0,0579549461288206
"system";37;-0,00636999515326625
"system";38;-0,00773379281572947
"system";39;-0,0249064771053512
"system";40;-0,0270504806807304
"system";41;-0,0287965453601215
"system";42;-0,0675556095200199
"system";43;-0,0158747315573113
"system";44;-0,0314085313544568
"system";45;-0,0383184818516298
"system";46;-0,0402844929097124
"system";47;0,0124700651475326
"system";48;-0,00338111591834869
"system";49;-0,0136199555796835
"system";50;-0,0423601044144828
"system";51;0,00210547602291897
"system";52;-0,00982740052643513
"system";53;-0,0317042310134643
"system";54;-0,0363046571150325
"system";55;-0,0256603327408637
"system";56;0,00569839794342389
"system";57;-0,0275195077902066
"system";58;0,00677258151052099
"system";59;-0,0270625767654503
"system";60;-0,0190751049423672
"system";61;0,000825265153001326
"system";62;-0,0216028907101162
"system";63;-0,0319742129663836
"system";64;-0,0157278995344116
"system";65;-0,0334763995676039
"system";66;-0,020307203418321
"system";67;-0,0296663255241902
"system";68;0,0227011330726557
"system";69;-0,0109722974143945
"system";70;-0,00667732717203409
"system";71;0,015785438235677
"system";72;0,0152807669137603
"system";73;-0,00500288410366417
"system";74;-0,0115632641423875
"system";75;0,000658188805661736
"system";76;-0,0147023350541648
"system";77;-0,00292139608702063
"system";78;0,00896854110021558
"system";79;-0,0210264081616304
"system";80;0,00133241546630081
"system";81;0,0207735564299074
"system";82;0,00871222302310742
"system";83;-0,012395919076176
"system";84;-0,00178928654611196
"system";85;0,0179411783016242
"system";86;-0,00159922377550356
"system";87;-0,0193699382722615
"system";88;0,0305414007992694
"system";89;0,00883181783935019
"system";90;-0,0438085974874209
"system";91;-0,000279895883635667
"system";92;-0,00887436609105682
"system";93;0,0148115246595278
"system";94;0,0186026793545671
"system";95;0,0280999233186273
"system";96;-0,00904770234253033
"system";97;0,0013122927767488
"system";98;-0,00212549730355627
"system";99;-0,01356024318351
"system";100;0,00213468282410081
"system";101;-0,00561376939524877
"system";102;-0,00892043728703518
"system";103;0,00995256236239919
"system";104;0,00915141046768794
"system";105;-0,0167821142843418
"system";106;-0,0362759690127706
"system";107;-0,0188443084679666
"system";108;-0,00158180110915657
"system";109;-0,0330889400380255
"system";110;0,0377356873356253
"system";111;0,00615099304864417
"system";112;0,0175227573840701
"system";113;0,0162121284478143
"system";114;-0,000228773884141525
"system";115;0,00366150822103228
"system";116;0,00464236222471559
"system";117;-0,0172999529360833
"system";118;0,0493948920563505
"system";119;-0,0287220455914376
"system";120;0,0125361005208338
"system";121;-0,00686828635129616
"system";122;0,0144144132273274
"system";123;-0,0123721192193056
"system";124;0,00080179956805071
"system";125;-0,0690337952936902
"system";126;-0,00789806246207694
"system";127;-0,0396934960986044
"system";128;0,00359460579003432
"system";129;0,00333612972357947
"system";130;0,0248927635361265
"system";131;-0,0128068985478426
"system";132;-0,0570023993962451
"system";133;-0,024248269140656
"system";134;-0,0322274955742978
"system";135;-0,0291962781407254
"system";136;-0,0071257600262411
"system";137;-0,0480720010765361
"system";138;-0,0177260456348798
"system";139;0,0176759602110398
"system";140;-0,0105041487870565
"system";141;0,00883340397410229
"system";142;0,0110948707324546
"system";143;-0,015602658399714
"system";144;0,0149502473498594
"system";145;-0,0118613457272266
"system";146;-0,0407124399118126
"system";147;-0,004963503559793
"system";148;0,000238995226078537
"system";149;-0,01470273921427
"system";150;-0,0141172078602675
"system";151;0,000426221129956383
"system";152;0,00691319061441928
"system";153;0,0106116829921733
"system";154;0,0144409452003202
"system";155;0,0431839786242518
"system";156;0,0215159737106564
"system";157;0,00195440467490277
"system";158;-0,00850696619069508
"system";159;0,0296971905005503
"system";160;-0,00415925692478775
"system";161;0,00403505667426149
"system";162;0,00351644936377121
"system";163;-0,00591058097343128
"system";164;0,00838631226900691
"system";165;0,0311982113527739
"system";166;0,0232179261563042
"system";167;-0,00821262133808331
"system";168;-0,0400426515263184
"system";169;-0,0136894208625058
"system";170;-0,00414773415834149
"system";171;0,034649678455558
"system";172;0,023276255503194
"system";173;0,0384902442266565
"system";174;0,00771132908006347
"system";175;0,0139317861370807
"system";176;0,0299943418270859
"system";177;0,00978218928543109
"system";178;0,0145434507566593
"system";179;0,0113580604582362
"system";180;0,0247730241283316
"system";181;-0,00328989567251842
"system";182;0,0385671044758377
"system";183;0,007014542851217
"system";184;-0,00956359947976249
"system";185;-0,0044567314877294
"system";186;0,0100268286411028
"system";187;-0,018275975032685
"system";188;0,00474871068779656
"system";189;0,00481872818235307
"system";190;-0,00870778779537562
"system";191;-0,000400254249114218
"system";192;-0,00814955714871862
"system";193;0,0183890323670411
"system";194;-0,00454850888731162
"system";195;0,0185382089338398
"system";196;0,0346816970271349
"system";197;0,0489936280466153
"system";198;-0,000714666912669554
"system";199;0,00356978630189136
"system";200;0,00975680450666716
"system";201;0,00940664676144387
"system";202;-0,00240566574133078
"system";203;-0,024241373876899
"system";204;-0,0296262771405692
"system";205;-0,0207692979163215
"system";206;0,0313110384108877
"system";207;-0,0417901385924072
"system";208;0,0316412241347725
"system";209;0,0301416480651885
"system";210;0,0182479905363697
"system";211;0,0284360851878038
"system";212;0,0261029854006096
"system";213;0,014296121312401
"system";214;0,0409676338764637
"system";215;0,011424098758247
"system";216;-0,0189379317242754
"system";217;-0,0422524632801833
"system";218;0,022038497100499
"system";219;0,0458006678369513
"system";220;0,00117534555920742
"system";221;-0,00783722580135074
"system";222;0,0183784896137766
"system";223;0,0234761038528798
"system";224;0,0273467453824668
"system";225;0,0178627348575546
"system";226;0,0333270345375203
"system";227;-0,00963060277858813
"system";228;-0,0177482390532553
"system";229;0,0298438950712089
"system";230;0,00740580203673497
"system";231;-0,0105627718817863
"system";232;0,032220279100748
"system";233;0,0290993792878361
"system";234;0,0361445667306607
"system";235;0,00962667176412499
"system";236;-0,0351632748491913
"system";237;-0,0116999151082751
"system";238;0,00310699224519845
"system";239;0,0349112022103262
"system";240;0,00120208604993727
"system";241;-0,00956450694524144
"system";242;0,0200190714959616
"system";243;-0,0244259527093538
"system";244;-0,018686693628454
"system";245;0,0219240595606162
"system";246;-0,020202609086531
"system";247;0,00407012144745267
"system";248;-0,00280814811665142
"system";249;0,00554710620273932
"system";250;-0,0127773954126144
"system";251;-0,0263176201228248
"system";252;-0,0169516942090878
"system";253;-0,039478458364115
"system";254;-0,0469210672946352
"system";255;-0,000778669874792887
"system";256;0,0118059831192148
"system";257;-0,0429966418711889
"system";258;-0,0286542272116303
"system";259;0,00470377919975659
"system";260;0,0184902138618634
"system";261;-0,0140204273593413
"system";262;0,00360227511539565
"system";263;-0,0046804197214517
"system";264;-0,061822771517842
"system";265;-0,0219716128501419
"system";266;-0,00857875525864513
