"share";"rmse_w_2sls";"rmse_w_3sls_minA";"rmse_w_3sls_minB"
"w_despesahat1";0,0227026050395466;0,033185411920699;0,0331719113581916
"w_despesahat2";0,0236117568202814;0,0284423340998214;0,0328860633805039
"w_despesahat3";0,00505215521803338;0,00724591487676598;0,00807368984344653
"w_despesahat4";0,0136256017970458;0,0180513414670334;0,019040495222934
"w_despesahat5";0,009324317863163;0,0094752867437752;0,0105266552064924
"w_despesahat6";0,0231158104182233;0,025934386550447;0,0285113496150849
