"equation";"F";"df1";"df2";"p-value"
"w_despesahat1";10,6051311012587;6;529;3,89294271172741e-11
"w_despesahat2";20,5701889659915;6;529;1,06619723136713e-21
"w_despesahat3";5,73621127854001;6;529;8,51618521702978e-06
"w_despesahat4";19,9571202227072;6;529;4,53298131721873e-21
"w_despesahat5";5,93947415593969;6;529;5,11117505699937e-06
"w_despesahat6";5,52762410964491;6;529;1,43659982487025e-05
