"share";"rmse_w_2sls_oos";"rmse_w_3sls_oos"
"w_despesahat1";0,0287518587491997;0,0326821883205693
"w_despesahat2";0,0265485220809284;0,028372734981172
"w_despesahat3";0,00459537397704176;0,0149433460775488
"w_despesahat4";0,012417070584489;0,0335589910810145
"w_despesahat5";0,0121707223515565;0,00931102896880723
"w_despesahat6";0,0226921842981693;0,0260950091263738
