"equation";"F";"df1";"df2";"p-value"
"w_despesahat1";3,11003617028656;6;523;0,0052962097493762
"w_despesahat2";3,84455962368933;6;523;0,00091909936474467
"w_despesahat3";8,41748606386109;6;523;9,84981416377594e-09
"w_despesahat4";15,261291016783;6;523;3,81343046001057e-16
"w_despesahat5";1,7483210628043;6;523;0,107831505397039
"w_despesahat6";2,91248401788529;6;523;0,00839113209061351
