"Equation";"Over_ID_available";"J";"df";"p_value"
"w_despesahat2";NA;NA;NA;NA
"w_despesahat3";NA;NA;NA;NA
"w_despesahat4";NA;NA;NA;NA
"w_despesahat5";NA;NA;NA;NA
"w_despesahat6";NA;NA;NA;NA
